iliacus,psoas,pectineus,sartorius,rectus femoris,abductor longus,abductor magnus 1,abductor magnus 2,abductor magnus 3,abductor brevis,gracillis,glutus maximus,glutus medius 1,glutus medius 2,glutus medius 3,glutus minimus 1,glutus minimus 2,glutus minimus 3,tensor fascia lata,piriformis,obturator internus,glemellus superior,glemellus inferior,quadratus femoris,obturator externus,semi tendinosus,semi membranosus,hip joint force,fixed support
7594,,,,,,,,,,,,,,,,,,,,,,,,,,,3953,9080
7011,,,,,,,,,,,,,,,,,,,,,,,,,,,3942,9192
7012,,,,,,,,,,,,,,,,,,,,,,,,,,,3340,9193
6973,,,,,,,,,,,,,,,,,,,,,,,,,,,3339,9194
6974,,,,,,,,,,,,,,,,,,,,,,,,,,,3338,9195
6935,,,,,,,,,,,,,,,,,,,,,,,,,,,3927,9200
6284,,,,,,,,,,,,,,,,,,,,,,,,,,,4589,9206
5498,,,,,,,,,,,,,,,,,,,,,,,,,,,4590,9212
4748,,,,,,,,,,,,,,,,,,,,,,,,,,,3939,9219
4094,,,,,,,,,,,,,,,,,,,,,,,,,,,3940,9227
3482,,,,,,,,,,,,,,,,,,,,,,,,,,,3941,9290
3483,,,,,,,,,,,,,,,,,,,,,,,,,,,4607,9291
3484,,,,,,,,,,,,,,,,,,,,,,,,,,,4622,9292
3485,,,,,,,,,,,,,,,,,,,,,,,,,,,4637,9294
3486,,,,,,,,,,,,,,,,,,,,,,,,,,,4653,9295
2945,,,,,,,,,,,,,,,,,,,,,,,,,,,4671,9299
2492,,,,,,,,,,,,,,,,,,,,,,,,,,,4692,9300
2120,,,,,,,,,,,,,,,,,,,,,,,,,,,4717,9305
1823,,,,,,,,,,,,,,,,,,,,,,,,,,,4759,9311
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,4758,9312
2119,,,,,,,,,,,,,,,,,,,,,,,,,,,4757,9318
2491,,,,,,,,,,,,,,,,,,,,,,,,,,,5464,9326
2944,,,,,,,,,,,,,,,,,,,,,,,,,,,5463,9371
2943,,,,,,,,,,,,,,,,,,,,,,,,,,,5434,9372
2490,,,,,,,,,,,,,,,,,,,,,,,,,,,5435,9373
2118,,,,,,,,,,,,,,,,,,,,,,,,,,,5410,9374
1821,,,,,,,,,,,,,,,,,,,,,,,,,,,5411,9375
1820,,,,,,,,,,,,,,,,,,,,,,,,,,,5436,9376
2117,,,,,,,,,,,,,,,,,,,,,,,,,,,5412,9379
2489,,,,,,,,,,,,,,,,,,,,,,,,,,,5437,9380
2942,,,,,,,,,,,,,,,,,,,,,,,,,,,5413,9384
2941,,,,,,,,,,,,,,,,,,,,,,,,,,,5394,9385
2488,,,,,,,,,,,,,,,,,,,,,,,,,,,5393,9390
2116,,,,,,,,,,,,,,,,,,,,,,,,,,,4652,9391
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,4636,9392
1818,,,,,,,,,,,,,,,,,,,,,,,,,,,4621,9397
2115,,,,,,,,,,,,,,,,,,,,,,,,,,,4606,9398
2487,,,,,,,,,,,,,,,,,,,,,,,,,,,4605,9403
2940,,,,,,,,,,,,,,,,,,,,,,,,,,,4620,9427
3481,,,,,,,,,,,,,,,,,,,,,,,,,,,4635,9428
4057,,,,,,,,,,,,,,,,,,,,,,,,,,,5376,9429
2939,,,,,,,,,,,,,,,,,,,,,,,,,,,4619,9430
2486,,,,,,,,,,,,,,,,,,,,,,,,,,,4604,9431
2114,,,,,,,,,,,,,,,,,,,,,,,,,,,4603,9432
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,5342,9433
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,5358,9434
2113,,,,,,,,,,,,,,,,,,,,,,,,,,,5359,9435
2909,,,,,,,,,,,,,,,,,,,,,,,,,,,5375,9436
3448,,,,,,,,,,,,,,,,,,,,,,,,,,,5374,9437
4056,,,,,,,,,,,,,,,,,,,,,,,,,,,5392,9438
4746,,,,,,,,,,,,,,,,,,,,,,,,,,,5391,9439
4747,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,9440
6237,,,,,,,,,,,,,,,,,,,,,,,,,,,2955,9441
5497,,,,,,,,,,,,,,,,,,,,,,,,,,,2916,9442
5496,,,,,,,,,,,,,,,,,,,,,,,,,,,2502,9443
6236,,,,,,,,,,,,,,,,,,,,,,,,,,,2536,9201
6282,,,,,,,,,,,,,,,,,,,,,,,,,,,3456,9196
6283,,,,,,,,,,,,,,,,,,,,,,,,,,,3425,9076
6934,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,9087
6933,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,8944
6972,,,,,,,,,,,,,,,,,,,,,,,,,,,3018,9081
6971,,,,,,,,,,,,,,,,,,,,,,,,,,,3537,8940
6970,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,8941
6932,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,8771
6281,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,8773
6281,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,8774
6235,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,
5495,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,
4745,,,,,,,,,,,,,,,,,,,,,,,,,,,2294,
4055,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,
3447,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,
2908,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,
2112,,,,,,,,,,,,,,,,,,,,,,,,,,,2293,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,2292,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,2854,
2085,,,,,,,,,,,,,,,,,,,,,,,,,,,1482,
2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
